Id,ItemId,BidGold,BidSilver,BuyoutGold,BuyoutSilver,Quantity,TimeLeft,Rand,Seed,FirstTimeSeenYear,FirstTimeSeenMonth,FirstTimeSeenDay,FirstTimeSeenHour,TimesSeen,ItemName,Quality,Level,RequiredLevel,ItemClass,ItemSubClass,PurchasePriceGold,PurchasePriceSilver,SellPriceGold,SellPriceSilver,MaxCount,IsEquippable,IsStackable
1421573545,5788,1,36,1,43,1,MEDIUM,,,2021,9,18,22,4,Pattern: Thick Murloc Armor,Uncommon,34,0,Recipe,Leatherworking,0,6,0,1,0,False,False
1421700720,1708,0,7,0,7,1,LONG,,,2021,9,18,22,5,Sweet Nectar,Common,35,25,Consumable,Food & Drink,0,10,0,0,0,False,True
1421706841,4361,0,46,0,46,1,LONG,,,2021,9,18,22,5,Copper Tube,Common,10,0,Trade Goods,Parts,0,4,0,1,0,False,True
1421740573,6530,0,14,0,14,1,LONG,,,2021,9,18,22,5,Nightcrawlers,Common,20,0,Consumable,Other,0,1,0,0,0,False,True
1421965122,6657,18,0,18,0,10,LONG,,,2021,9,18,22,7,Savory Deviate Delight,Common,18,0,Consumable,Food & Drink,0,0,0,0,0,False,True
1422108746,3369,0,9,0,10,1,VERY_LONG,,,2021,9,18,22,22,Grave Moss,Common,24,0,Trade Goods,Herb,0,1,0,0,0,False,True
1422163900,5634,11,89,11,89,5,LONG,,,2021,9,18,22,9,Free Action Potion,Common,30,20,Consumable,Potion,0,3,0,0,0,False,True
1422211415,6787,19,7,20,7,1,VERY_LONG,,,2021,9,18,22,24,White Woolen Dress,Common,22,17,Armor,Cloth,0,23,0,4,0,True,False
1422216633,3576,0,50,0,99,1,VERY_LONG,,,2021,9,18,22,24,Tin Bar,Common,20,0,Trade Goods,Metal & Stone,0,1,0,0,0,False,True
1422216812,4245,1,13,1,13,1,VERY_LONG,,,2021,9,18,22,7,Small Silk Pack,Common,25,0,Container,Bag,0,80,0,20,0,True,False
1422219013,4232,0,60,0,60,10,VERY_LONG,,,2021,9,18,22,24,Medium Hide,Common,20,0,Trade Goods,Leather,0,5,0,1,0,False,True
1422336100,6338,0,79,0,84,1,VERY_LONG,,,2021,9,18,22,24,Silver Rod,Common,20,0,Trade Goods,Enchanting,0,5,0,1,0,False,False
1422337605,4402,0,18,0,19,1,VERY_LONG,,,2021,9,18,22,24,Small Flame Sac,Common,25,0,Trade Goods,Other,0,10,0,2,0,False,True
1422337725,4278,0,89,0,94,10,VERY_LONG,,,2021,9,18,22,24,Lesser Bloodstone Ore,Common,1,0,Quest,Quest,0,1,0,0,0,False,True
1422364705,117,0,4,0,4,1,LONG,,,2021,9,18,22,11,Tough Jerky,Common,5,1,Consumable,Food & Drink,0,0,0,0,0,False,True
1422398590,2592,9,39,9,99,20,VERY_LONG,,,2021,9,18,22,24,Wool Cloth,Common,15,0,Trade Goods,Cloth,0,1,0,0,0,False,True
1419540470,2589,0,99,0,0,20,LONG,,,2021,9,18,22,5,Linen Cloth,Common,5,0,Trade Goods,Cloth,0,0,0,0,0,False,True
1419540683,2589,0,99,0,0,20,LONG,,,2021,9,18,22,5,Linen Cloth,Common,5,0,Trade Goods,Cloth,0,0,0,0,0,False,True
1422419282,4852,1,2,1,7,1,LONG,,,2021,9,18,22,12,Flash Bomb,Common,37,27,Trade Goods,Explosives,0,12,0,3,0,False,True
1422446640,3355,0,18,0,19,1,LONG,,,2021,9,18,22,12,Wild Steelbloom,Common,22,0,Trade Goods,Herb,0,2,0,0,0,False,True
